,fecha,ventas_diarias_usd,inversion_publicitaria_usd,temperatura_promedio_c
0,2024-01-01,4770.65163887157,115.39454429757582,20.53628936575583
1,2024-01-02,4666.281437719034,84.00428835743249,19.22237601028574
2,2024-01-03,4662.402018541718,124.44256311967821,19.917359988878562
3,2024-01-04,5625.763498783627,192.7733079219697,20.078662929389424
4,2024-01-05,5295.864659511759,80.07176640802582,22.448099722142253
5,2024-01-06,4729.78662069879,80.07242371081223,19.976632881387324
6,2024-01-07,5683.260820213151,198.26537433619083,22.65356025795979
7,2024-01-08,4535.097795586626,132.1208936698191,16.652512531624154
8,2024-01-09,4875.934733002103,71.18362507264116,22.845456304673142
9,2024-01-10,5328.923337019855,118.07027780415577,22.871962096279624
10,2024-01-11,4728.519892539855,71.39952049693372,22.381140875172655
11,2024-01-12,4398.344585419925,71.31702817320367,18.111483254253805
12,2024-01-13,5338.4801710587735,101.59366042268024,22.758957492045436
13,2024-01-14,4347.183098592082,34.58291858580259,21.256350314512115
14,2024-01-15,3852.9044833577263,37.99828715125419,17.63803043614871
15,2024-01-16,6444.7824464692,646.7222390223043,23.479386332449167
16,2024-01-17,4881.995368433288,54.24899353144922,
17,2024-01-18,4541.347520144233,105.33267409396687,18.874126489485896
18,2024-01-19,4719.020203995541,57.16763761081499,22.092658960887903
19,2024-01-20,4966.247538061644,44.427033613875345,24.010504652320463
20,2024-01-21,5409.103967654563,187.32112395061498,
21,2024-01-22,5265.489706890484,80.40785333869925,23.376148309797514
22,2024-01-23,4409.033012494324,93.10837174785362,18.247467937497778
23,2024-01-24,4600.685408833395,44.1514560840924,23.408294587415362
24,2024-01-25,4592.093048159549,68.56681269644788,22.081772087674924
25,2024-01-26,5171.719520866962,95.15063761301681,23.99694790875164
26,2024-01-27,4639.458770568701,50.6279204310041,22.980895742953326
27,2024-01-28,5122.451743204,108.61928925453911,22.659553635009164
28,2024-01-29,5329.688167222811,66.66503849726038,23.74265739953096
29,2024-01-30,4912.983844517398,77.80090979221893,22.614532984087095
30,2024-01-31,4643.773526490263,66.62945145818034,
31,2024-02-01,5625.977407275128,227.27008051462715,22.219189664419485
32,2024-02-02,4723.8399533916745,89.41168583105414,20.732380157416458
33,2024-02-03,4985.492427188279,53.04520823443439,24.079811239886705
34,2024-02-04,5361.593423592,135.8121194586542,22.105566399499864
35,2024-02-05,4994.059421650586,48.89025904063242,23.099022738685605
36,2024-02-06,5524.649382168874,99.92618840559797,23.915262578403706
37,2024-02-07,4765.2240871798695,33.79000126151296,
38,2024-02-08,4587.242284834637,46.335433721359465,20.858837865175524
39,2024-02-09,5685.927296662755,99.3283091900566,23.2826726257314
40,2024-02-10,5382.770697279509,130.22103684037793,24.49443902879055
