ingreso,D,experiencia,educacion
2102.0425938725975,0,3.9934283060224653,0.4797279599319662
1605.9051733971564,0,2.723471397657631,0.13607135332956577
2219.1076688950425,1,4.295377076201385,0.516456278182071
2196.6159806639776,0,6.046059712816051,0.39007937726115255
2051.1484725524824,1,2.531693250553328,0.7547104826795425
2237.3613744954937,1,2.531726086101639,0.9053710499414495
2628.211367763898,1,6.158425631014783,0.943321724825658
2322.155937930243,1,4.534869458305818,0.5763290645930483
1200.2987455673476,0,2.0610512281300957,0.3865005428434653
2072.358646198594,1,4.085120087171929,0.5942949841757814
1804.967353236277,1,2.0731646143750755,0.6587897928761686
1590.8690560947816,0,2.068540492859486,0.7109319776144829
1741.4647348660556,0,3.4839245431320682,0.8083574087043901
1117.6338078103622,0,0.0,0.44868506594995716
1381.955209081891,1,0.0,0.7696760431230306
1569.3653848225722,0,1.8754249415180546,0.3566230966317677
1399.8136148504968,0,0.9743377593311524,0.5403313094662052
1802.889074917197,1,3.628494665190548,0.599312793387636
1567.484788463773,1,1.1839518489575782,0.5137159864589416
1674.3779140980369,1,0.17539259732941703,0.5614974779723815
2312.5682084307837,1,5.931297537843108,0.4629559340629505
1773.7286312114425,1,2.5484473990269287,0.461699626770045
2149.512765999778,1,3.1350564093758475,0.7883456799900321
1213.582336819432,0,0.15050362757308644,0.2445745712956513
1744.9963554920007,1,1.9112345509496347,0.8911633285147755
2335.7999765219474,1,3.221845179419732,0.8849950067308233
1361.605097822886,0,0.6980128451553944,0.8339236547421041
1920.0931691358128,1,3.751396036691344,0.1219387145641422
1760.808579540559,1,1.79872262016239,0.39616842930900464
1665.7371379455356,0,2.4166125004134464,0.8173169730629463
1755.4475198038938,1,1.7965867755412062,0.7813829053977115
2629.1116293334585,1,6.704556369017876,0.761130967198459
2009.2729681908636,0,2.973005550524132,0.476512147594409
1143.2345385401302,0,0.8845781420881993,0.5657656466392528
2626.592010082884,1,4.645089824206378,0.5827318652619042
1493.5679468117505,1,0.5583127000579555,0.32353055203672754
2123.2562879290012,1,3.417727190009511,0.6070458520196935
1066.2371811954497,0,0.0,0.5671586869447899
1103.0772890970532,0,0.343627902203139,0.41157397420415687
1866.8118617852178,0,3.393722471738247,0.9166708420641694
1733.163442685686,0,4.476933159990821,0.5415249257252904
1685.8045605582715,0,3.342736562379941,0.45235533535090905
1972.1677878954,1,2.768703435223519,0.6765309019464528
2256.8001603602434,1,2.3977926088214225,0.4539500810997672
1450.7497279825016,1,0.04295601926514525,0.755002324457644
1630.562250608264,0,1.5603115832105827,0.7519548195539189
2083.119499506801,1,2.078722458080425,0.8434837488287446
2184.6939101294306,1,5.114244452437831,0.663242703988247
2475.9211165926763,1,3.687236579136923,0.9709402612631405
1398.6533769258685,0,0.0,0.956637559004388
1368.0111527002637,0,3.64816793878959,0.6385277843968772
1938.3173858633916,0,2.229835439167367,0.9437442951347472
1337.5984473967178,0,1.6461559993880825,0.6281264486179566
1903.8627508118368,1,4.2233525776817356,0.35982970677479265
2035.6707806004893,0,5.061999044991902,0.27758101454644873
2048.9818152260423,0,4.862560238232398,0.7780601519497459
2047.9814518714816,1,1.321564953554723,0.7323845574559464
2029.4830262504856,0,2.3815752482975707,0.8604270398655728
2110.074898306014,1,3.6625268628071277,0.7793631218988085
2041.4831964595016,0,4.951090254244718,0.2803343182635754
